"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Suppression List Functionalities","","","Check Duplicated Campaign's Subscribers Count",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Suppression List Functionalities","","","Subscriber Delete",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Standard Campaign Functionalities","","","Delete Campaign Test List",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of WooCommerce Integration","","","Check Automation Status",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Affiliate WP Integration","","","List Create for Affiliate WP Integration",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of Exclude Feature on Campaign","","","Subscribers Create for Campaign",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Affiliate WP Integration","","","Approve Affiliate User - e2e",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of WooCommerce Integration","","","Delete Test List",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Forms Functionalities","","","Form Delete",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of Automation Feature","","","Automation Delete",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of WooCommerce Integration","","","Delete woocom Product",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Subscriber Verification for Double-Opt-in List","","","Re-Check Subscriber Status",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of List (Tag, Segment, Custom Field) & Subscriber","","","List Update",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of List (Tag, Segment, Custom Field) & Subscriber","","","Subscriber Delete",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of WP ERP Integration","","","Create WP ERP CRM Contacts",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Exclude Feature on Campaign","","","Assign Tag on Subscriber",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of List (Tag, Segment, Custom Field) & Subscriber","","","Tag Update",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Standard Campaign Functionalities","","","List Create for Campaign",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of List (Tag, Segment, Custom Field) & Subscriber","","","Check Tag on Subscriber",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Contact Form 7 Integration","","","Automation Create",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of List (Tag, Segment, Custom Field) & Subscriber","","","Re-Check Segment on Subscriber",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of WooCommerce Integration","","","Complete woocom Order",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of Affiliate WP Integration","","","Validate Subscriber's info - Signed up through Affiliate WP Integration",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of List (Tag, Segment, Custom Field) & Subscriber","","","Assign Tag on Subscriber",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Exclude Feature on Campaign","","","Un-assign Tag on Subscriber",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Exclude Feature on Campaign","","","Campaign Create",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Contact Form 7 Integration","","","Subscriber's info - Signed up through Contact Form 7",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Forms Functionalities","","","Forms Sync. with WP Site - e2e",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Suppression List Functionalities","","","Campaign Create for Suppression List",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of List (Tag, Segment, Custom Field) & Subscriber","","","Remove Custom Field Value on Subscriber",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Automation Feature","","","Subscriber Delete",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Exclude Feature on Campaign","","","List Create for Campaign",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of WP ERP Integration","","","Subscriber Delete - Signed up through WP ERP Integration",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of Affiliate WP Integration","","","Affiliate Integration",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of Affiliate WP Integration","","","Automation Create",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Forms Functionalities","","","Forms Sync. with WP Site - API",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of List (Tag, Segment, Custom Field) & Subscriber","","","Verify Custom Field on Subscriber",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Contact Form 7 Integration","","","Submit - Contact Form 7",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Suppression List Functionalities","","","Check Campaign Activity & Subscriber Count",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of WooCommerce Integration","","","Check Automation Activity",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of Automation Feature","","","Subscriber Create With Fire Event",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Suppression List Functionalities","","","Delete List",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Automation Feature","","","Check Automation Status",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Affiliate WP Integration","","","Delete Automation Delay",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Contact Form 7 Integration","","","Automation Details",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of WooCommerce Integration","","","Automation Delete",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Affiliate WP Integration","","","Delete Test List",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of WP ERP Integration","","","Automation Details",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of Contact Form 7 Integration","","","Delete Test List",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Forms Functionalities","","","Forms - List Create",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of List (Tag, Segment, Custom Field) & Subscriber","","","Un-assign Tag on Subscriber",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Functionalities of Contact Form 7 Integration","","","weMail List <-> Contact Form 7 - e2e",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","1","api_test_suite","main.spec.ts","Forms Functionalities","","","Automation Activation",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of WP ERP Integration","","","Delete WP ERP CRM Contacts",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Functionalities of List (Tag, Segment, Custom Field) & Subscriber","","","Check Custom Field on Subscriber",""
"skipped","Mon Jan 01 11:19:25 GMT 2024","Mon Jan 01 11:19:25 GMT 2024","0","api_test_suite","main.spec.ts","Standard Campaign Functionalities","","","Unsubscribe From Campaign",""
